Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/9/20,11.736,9.336,10.536
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/10/20,12.774,10.374,11.574
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/11/20,13.745,11.345,12.545
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/14/20,12.572,10.172,11.372
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/15/20,12.697,10.297,11.497
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/16/20,11.525,9.126,10.326
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/17/20,11.632,9.232,10.432
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/18/20,10.942,8.541,9.742
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/21/20,11.842,9.442,10.642
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/22/20,11.535,9.134,10.334
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/23/20,10.908,8.508,9.708
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/24/20,10.529,8.129,9.329
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/25/20,10.251,7.85,9.051
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/28/20,10.542,8.142,9.342
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/29/20,11.434,9.034,10.234
AUD10PSW=R,Australian Dollar/US Dollar Spot Week 10 Delta Put,12/30/20,13.348,10.948,12.148
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,11/30/20,11.582,9.832,10.707
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/1/20,10.997,9.947,10.472
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/2/20,11.051,10.002,10.527
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/3/20,10.789,9.738,10.263
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/4/20,11.059,10.008,10.534
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/7/20,11.919,10.219,11.069
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/8/20,11.345,10.295,10.82
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/9/20,11.266,10.215,10.741
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/10/20,11.2,10.15,10.675
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/11/20,11.844,10.794,11.319
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/14/20,11.774,10.724,11.249
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/15/20,11.819,10.769,11.294
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/16/20,11.391,10.341,10.866
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/17/20,11.191,10.14,10.666
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/18/20,11.258,10.208,10.733
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/21/20,12.394,11.344,11.869
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/22/20,12.338,11.288,11.813
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/23/20,11.953,10.903,11.428
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/24/20,11.741,10.691,11.216
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/25/20,11.691,10.641,11.166
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/28/20,12.009,10.959,11.484
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/29/20,12.164,11.114,11.639
AUD10P1M=R,Australian Dollar/US Dollar 1 Month 10 Delta Put,12/30/20,12.361,11.311,11.836
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,11/30/20,11.869,10.419,11.144
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/1/20,11.453,10.503,10.978
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/2/20,11.576,10.626,11.101
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/3/20,11.692,10.742,11.217
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/4/20,11.588,10.638,11.113
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/7/20,12.221,10.671,11.446
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/8/20,11.654,10.704,11.179
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/9/20,11.538,10.587,11.063
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/10/20,11.664,10.714,11.189
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/11/20,12.159,11.209,11.684
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/14/20,12.04,11.089,11.565
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/15/20,12.002,11.052,11.527
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/16/20,11.69,10.74,11.215
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/17/20,11.704,10.754,11.229
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/18/20,11.793,10.843,11.318
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/21/20,12.534,11.584,12.059
